Symbol,Date,Open,High,Low,Close,Volume
TKXHF.OB,02-Jul-2021,0.0682,0.0682,0.0682,0.0682,500
TLCC.OB,02-Jul-2021,0.161,0.161,0.161,0.161,100
TLFA.OB,02-Jul-2021,4.99,5,4.899,5,6200
TLGHY.OB,02-Jul-2021,19.01,19.05,19.01,19.05,700
TLGRF.OB,02-Jul-2021,1.04,1.04,1,1.01,22700
TLIF.OB,02-Jul-2021,0.0653,0.0653,0.0653,0.0653,1000
TLKGY.OB,02-Jul-2021,11.72,11.72,11.72,11.72,100
TLKMF.OB,02-Jul-2021,0.218,0.218,0.2115,0.2115,11600
TLLEQ.OB,02-Jul-2021,0.01,0.01,0.01,0.01,49900
TLLTF.OB,02-Jul-2021,0.475,0.4899,0.47,0.48,94700
TLLYF.OB,02-Jul-2021,1.516,1.516,1.516,1.516,3500
TLLZF.OB,02-Jul-2021,0.225,0.2475,0.225,0.2475,20900
TLOFF.OB,02-Jul-2021,0.405,0.43,0.402,0.4035,241900
TLPFY.OB,02-Jul-2021,204.35,205.98,204.09,205.51,4400
TLPPF.OB,02-Jul-2021,4.5,4.6,4.5,4.56,2200
TLRS.OB,02-Jul-2021,0.27,0.27,0.2185,0.2185,72800
TLSMF.OB,02-Jul-2021,0.13,0.13,0.13,0.13,300
TLSNY.OB,02-Jul-2021,8.76,8.92,8.76,8.825,11900
TLSS.OB,02-Jul-2021,0.0155,0.016,0.0141,0.0153,17151000
TLSYY.OB,02-Jul-2021,14.42,14.42,14.145,14.23,10700
TLTFF.OB,02-Jul-2021,0.2075,0.2075,0.1855,0.1954,420700
TLTZY.OB,02-Jul-2021,6.93,6.93,6.93,6.93,200
TMASF.OB,02-Jul-2021,0.3936,0.3936,0.335,0.353,86800
TMCGF.OB,02-Jul-2021,0.01,0.01,0.01,0.01,200000
TMEB.OB,02-Jul-2021,0.0098,0.0098,0.0098,0.0098,50000
TMGEF.OB,02-Jul-2021,0.16,0.17,0.16,0.17,33300
TMGI.OB,02-Jul-2021,0.0006,0.0006,0.0005,0.0005,97432100
