Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.0434,-0.0366,-0.403%,36845715.00,United States,,1227,,
GROY,Gold Royalty Corp. Common Shares,$4.91,0.00,0.00%,204360814.00,,2021,46814,,
GSAT,Globalstar Inc. Common Stock,$1.30,0.03,2.362%,2329600000.00,United States,2006,17842315,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.33,-0.10,-2.915%,381925902.00,United States,,361804,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6047,0.0008,0.132%,216165861.00,Canada,,807785,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.684,-0.0021,-0.306%,251015384.00,Canada,,1765248,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$27.77,0.11,0.398%,,United States,,4570,,
HMG,HMG/Courtland Properties Inc. Common Stock,$11.94,0.1413,1.198%,12026541.00,United States,,212,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.17,0.00,0.00%,126408424.00,United States,2007,54680,,
HUSA,Houston American Energy Corporation Common Stock,$1.81,0.05,2.841%,17961242.00,United States,,445999,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$78.00,0.00,0.00%,,United States,,183,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.62,0.01,0.151%,154273082.00,United States,,57382,,
IBIO,iBio Inc. Common Stock,$1.63,0.05,3.165%,355096061.00,United States,,4717284,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.54,0.10,1.344%,250127858.00,United States,2017,57721,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.49,0.00,0.00%,67595821.00,United States,,732595,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$9.25,0.38,4.284%,81918500.00,United States,,954518,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.24,0.07,3.226%,47785212.00,United States,1997,1871583,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$33.95,-0.58,-1.68%,24921905832.00,Canada,,544951,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.5201,-0.0299,-0.539%,41003054.00,,2019,4737,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$20.13,-0.14,-0.691%,412036884.00,United States,,57621,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$14.63,0.00,0.00%,157230527.00,United States,1997,65013,Technology,Semiconductors
INUV,Inuvo Inc.,$0.8648,0.0057,0.663%,102492813.00,United States,,1116683,Technology,Advertising
